# Time-averaged data for fix msd2
# TimeStep Number-of-rows
# Row c_comp2
3 0.00131574
4 0.00395924
14200 4
1 0.0012957
2 0.00130981
3 0.00128968
4 0.00389519
14300 4
1 0.00129699
2 0.00128576
3 0.00128535
4 0.0038681
14400 4
1 0.00130513
2 0.00130968
3 0.0013097
4 0.00392451
14500 4
1 0.00126977
2 0.0012599
3 0.00125869
4 0.00378836
14600 4
1 0.00127792
2 0.00126706
3 0.00126128
4 0.00380626
14700 4
1 0.00128661
2 0.00126882
3 0.00125364
4 0.00380907
14800 4
1 0.00124996
2 0.00124643
3 0.00122941
4 0.0037258
14900 4
1 0.00123133
2 0.00124405
3 0.00122358
4 0.00369896
15000 4
1 0.00123256
2 0.00124325
3 0.00124141
4 0.00371722
15100 4
1 0.00122207
2 0.00121944
3 0.00120978
4 0.0036513
15200 4
1 0.00121818
2 0.00119858
3 0.00120558
4 0.00362234
15300 4
1 0.0012042
2 0.00122213
3 0.00121932
4 0.00364565
15400 4
1 0.00117662
2 0.00117173
3 0.00118111
4 0.00352945
15500 4
1 0.00118402
2 0.00118436
3 0.00119202
4 0.00356039
15600 4
1 0.00116628
2 0.00116872
3 0.00116307
4 0.00349807
15700 4
1 0.00118113
2 0.00116183
3 0.00116719
4 0.00351015
15800 4
1 0.00115558
2 0.00115952
3 0.00116034
4 0.00347544
15900 4
1 0.0011686
2 0.00114993
3 0.0011644
4 0.00348294
16000 4
1 0.00113863
2 0.00114648
3 0.00113505
4 0.00342016
16100 4
1 0.00113301
2 0.00114702
3 0.00113946
4 0.00341949
16200 4
1 0.00113327
2 0.00112712
3 0.00112677
4 0.00338715
16300 4
1 0.00110489
2 0.00112543
3 0.00111752
4 0.00334784
16400 4
1 0.00110926
2 0.00111116
3 0.00110777
4 0.00332819
16500 4
1 0.00110891
2 0.00110436
3 0.00109372
4 0.00330699
16600 4
1 0.00108582
2 0.00109043
3 0.00109169
4 0.00326794
16700 4
1 0.00109224
2 0.00109148
3 0.00110157
4 0.0032853
16800 4
1 0.00107567
2 0.00109424
3 0.00106518
4 0.00323509
16900 4
1 0.00107174
2 0.00108397
3 0.00107356
4 0.00322927
17000 4
1 0.00106373
2 0.00106834
3 0.0010712
4 0.00320327
17100 4
1 0.00106915
2 0.00106487
3 0.00106908
4 0.0032031
17200 4
1 0.0010572
2 0.00106796
3 0.00104921
4 0.00317438
17300 4
1 0.00105716
2 0.00105597
3 0.00105119
4 0.00316432
17400 4
1 0.0010531
2 0.00104161
3 0.00104392
4 0.00313863
17500 4
1 0.00103497
2 0.0010284
3 0.00103969
4 0.00310306
17600 4
1 0.00103021
2 0.0010409
3 0.00104006
4 0.00311117
17700 4
1 0.00102943
2 0.000996555
3 0.00103033
4 0.00305631
17800 4
1 0.00101859
2 0.00101847
3 0.00102419
4 0.00306125
17900 4
1 0.00102064
2 0.00102195
3 0.00101664
4 0.00305923
18000 4
1 0.00102947
2 0.000999367
3 0.00100342
4 0.00303226
18100 4
1 0.00100301
2 0.000997233
3 0.000999838
4 0.00300008
18200 4
1 0.00100615
2 0.000997556
3 0.000978314
4 0.00298202
18300 4
1 0.000991633
2 0.000984453
3 0.000995832
4 0.00297192
18400 4
1 0.000985387
2 0.000985591
3 0.00098573
4 0.00295671
18500 4
1 0.000979055
2 0.000983289
3 0.000973921
4 0.00293627
18600 4
1 0.000972734
2 0.000972448
3 0.000970595
4 0.00291578
18700 4
1 0.000980538
2 0.000971699
3 0.000963682
4 0.00291592
18800 4
1 0.000974118
2 0.000967983
3 0.000959344
4 0.00290144
18900 4
1 0.00097232
2 0.000960561
3 0.000949564
4 0.00288245
19000 4
1 0.00097531
2 0.00097301
3 0.000950923
4 0.00289924
19100 4
1 0.000952589
2 0.000946448
3 0.00095037
4 0.00284941
19200 4
1 0.000946302
2 0.000946732
3 0.000947482
4 0.00284052
19300 4
1 0.000959707
2 0.000937522
3 0.000946249
4 0.00284348
19400 4
1 0.000922545
2 0.000931448
3 0.000943093
4 0.00279709
19500 4
1 0.000951799
2 0.000943485
3 0.00094228
4 0.00283756
19600 4
1 0.000942685
2 0.000928006
3 0.000921939
4 0.00279263
19700 4
1 0.000924098
2 0.000924567
3 0.000917711
4 0.00276638
19800 4
1 0.000918234
2 0.000928626
3 0.000919445
4 0.00276631
19900 4
1 0.000920314
2 0.00091395
3 0.000913807
4 0.00274807
20000 4
1 0.000907275
2 0.000908016
3 0.000917143
4 0.00273243
20100 4
1 0.000919859
2 0.00091265
3 0.000902612
4 0.00273512
20200 4
1 0.000903377
2 0.000902277
3 0.000899276
4 0.00270493
20300 4
1 0.000890636
2 0.000893696
3 0.000911484
4 0.00269582
20400 4
1 0.000896197
2 0.000899487
3 0.000887414
4 0.0026831
20500 4
1 0.000893787
2 0.000889072
3 0.000875878
4 0.00265874
20600 4
1 0.000871558
2 0.000889609
3 0.000891302
4 0.00265247
20700 4
1 0.000893655
2 0.000895905
3 0.000878281
4 0.00266784
20800 4
1 0.00088514
2 0.000876232
3 0.000878563
4 0.00263994
20900 4
1 0.000886431
2 0.000874048
3 0.000882585
4 0.00264306
21000 4
1 0.000878285
2 0.000874053
3 0.000875207
4 0.00262754
21100 4
1 0.000871945
2 0.000860509
3 0.000882247
4 0.0026147
21200 4
1 0.00085883
2 0.000869058
3 0.000882044
4 0.00260993
21300 4
1 0.000885382
2 0.000869002
3 0.000862542
4 0.00261693
21400 4
1 0.000856247
2 0.000867091
3 0.000862069
4 0.00258541
21500 4
1 0.000864321
2 0.000860284
3 0.000851263
4 0.00257587
21600 4
1 0.000866809
2 0.000871117
3 0.000847574
4 0.0025855
21700 4
1 0.000860825
2 0.00087045
3 0.000830378
4 0.00256165
21800 4
1 0.000852921
2 0.000843338
3 0.000838372
4 0.00253463
21900 4
1 0.000835194
2 0.000854063
3 0.000836172
4 0.00252543
22000 4
1 0.000834044
2 0.000843107
3 0.000840845
4 0.002518
22100 4
1 0.000842022
2 0.000843996
3 0.000838557
4 0.00252458
22200 4
1 0.000833308
2 0.000841684
3 0.000851751
4 0.00252674
22300 4
1 0.000838376
2 0.00082776
3 0.000836553
4 0.00250269
22400 4
1 0.000831499
2 0.000839687
3 0.000835314
4 0.0025065
22500 4
1 0.000843549
2 0.000819494
3 0.000828984
4 0.00249203
22600 4
1 0.000833527
2 0.000838158
3 0.000826421
4 0.00249811
22700 4
1 0.000826472
2 0.000823616
3 0.000823424
4 0.00247351
22800 4
1 0.000831954
2 0.000824063
3 0.000815557
4 0.00247157
22900 4
1 0.000814072
2 0.000817459
3 0.000818296
4 0.00244983
23000 4
1 0.000837237
2 0.000821067
3 0.000821923
4 0.00248023
23100 4
1 0.000820686
2 0.000823044
3 0.000808177
4 0.00245191
23200 4
1 0.000819031
2 0.000813628
3 0.000802154
4 0.00243481
23300 4
1 0.000818341
2 0.00081576
3 0.000815149
4 0.00244925
23400 4
1 0.000815862
2 0.000825018
3 0.000814792
4 0.00245567
23500 4
1 0.000810548
2 0.000820856
3 0.000804855
4 0.00243626
23600 4
1 0.000805821
2 0.000826999
3 0.000803653
4 0.00243647
23700 4
1 0.000807029
2 0.000799474
3 0.000792224
4 0.00239873
23800 4
1 0.000791972
2 0.000811077
3 0.00079716
4 0.00240021
23900 4
1 0.000813488
2 0.00079311
3 0.000794855
4 0.00240145
24000 4
1 0.000801754
2 0.000798684
3 0.000795699
4 0.00239614
24100 4
1 0.000811062
2 0.000779551
3 0.000786511
4 0.00237712
24200 4
1 0.00078782
2 0.000792721
3 0.000793113
4 0.00237365
24300 4
1 0.000794091
2 0.00079717
3 0.000790689
4 0.00238195
24400 4
1 0.000790157
2 0.000800052
3 0.000792344
4 0.00238255
24500 4
1 0.000788748
2 0.000788834
3 0.000788765
4 0.00236635
24600 4
1 0.000790917
2 0.000785157
3 0.000784117
4 0.00236019
24700 4
1 0.000796839
2 0.000781642
3 0.000786412
4 0.00236489
24800 4
1 0.00078534
2 0.000794093
3 0.000789036
4 0.00236847
24900 4
1 0.000785313
2 0.000784947
3 0.000780828
4 0.00235109
25000 4
1 0.000781644
2 0.000777092
3 0.000786494
4 0.00234523
25100 4
1 0.000768865
2 0.000783163
3 0.00077798
4 0.00233001
25200 4
1 0.000786504
2 0.000781376
3 0.000768699
4 0.00233658
25300 4
1 0.000774818
2 0.000777259
3 0.000763342
4 0.00231542
25400 4
1 0.000780047
2 0.000769904
3 0.000780624
4 0.00233058
25500 4
1 0.000774481
2 0.000784905
3 0.000758915
4 0.0023183
25600 4
1 0.000774012
2 0.000776945
3 0.000770929
4 0.00232189
25700 4
1 0.000773775
2 0.000780879
3 0.000769335
4 0.00232399
25800 4
1 0.000765013
2 0.000781228
3 0.000758623
4 0.00230486
25900 4
1 0.000773288
2 0.000768989
3 0.000766615
4 0.00230889
26000 4
1 0.000769945
2 0.000769584
3 0.000761261
4 0.00230079
26100 4
1 0.000758145
2 0.000768264
3 0.000758742
4 0.00228515
26200 4
1 0.000766848
2 0.000778025
3 0.000774089
4 0.00231896
26300 4
1 0.000757412
2 0.000768817
3 0.00075476
4 0.00228099
26400 4
1 0.000760087
2 0.000759623
3 0.000760938
4 0.00228065
26500 4
1 0.000762485
2 0.000774791
3 0.000761212
4 0.00229849
26600 4
1 0.000764275
2 0.000755743
3 0.000763816
4 0.00228383
26700 4
1 0.000764482
2 0.000766374
3 0.00076061
4 0.00229147
26800 4
1 0.000765356
2 0.000760688
3 0.000771609
4 0.00229765
26900 4
1 0.000760407
2 0.000767987
3 0.000763438
4 0.00229183
27000 4
1 0.000760549
2 0.000772335
3 0.000758943
4 0.00229183
27100 4
1 0.000759714
2 0.000766964
3 0.000757832
4 0.00228451
27200 4
1 0.000762806
2 0.000777885
3 0.000759714
4 0.00230041
27300 4
1 0.000767423
2 0.000756633
3 0.000748291
4 0.00227235
27400 4
1 0.000762443
2 0.000763153
3 0.000749661
4 0.00227526
27500 4
1 0.000766329
2 0.000761781
3 0.000757978
4 0.00228609
27600 4
1 0.000754663
2 0.000759099
3 0.000755865
4 0.00226963
27700 4
1 0.000759606
2 0.00076262
3 0.000749444
4 0.00227167
27800 4
1 0.000746322
2 0.000765711
3 0.000766477
4 0.00227851
27900 4
1 0.000758567
2 0.000750434
3 0.000750333
4 0.00225933
28000 4
1 0.000757573
2 0.000763242
3 0.000756389
4 0.0022772
28100 4
1 0.000752164
2 0.000752344
3 0.000750751
4 0.00225526
28200 4
1 0.000763061
2 0.000751466
3 0.000754157
4 0.00226868
28300 4
1 0.000751856
2 0.000762975
3 0.000758107
4 0.00227294
28400 4
1 0.000756839
2 0.000760473
3 0.000749136
4 0.00226645
28500 4
1 0.000763938
2 0.000749574
3 0.000743594
4 0.00225711
28600 4
1 0.000755496
2 0.00075468
3 0.000762461
4 0.00227264
28700 4
1 0.000761689
2 0.00076044
3 0.00075902
4 0.00228115
28800 4
1 0.000754046
2 0.000761394
3 0.000751895
4 0.00226734
28900 4
1 0.000764559
2 0.000758555
3 0.000753559
4 0.00227667
29000 4
1 0.000763625
2 0.0007538
3 0.000742497
4 0.00225992
29100 4
1 0.000758578
2 0.000761113
3 0.000750048
4 0.00226974
29200 4
1 0.000761737
2 0.000753746
3 0.000761961
4 0.00227744
29300 4
1 0.000775558
2 0.000753551
3 0.000747702
4 0.00227681
29400 4
1 0.000763099
2 0.000766616
3 0.000744959
4 0.00227467
29500 4
1 0.000757594
2 0.000769754
3 0.00076451
4 0.00229186
29600 4
1 0.000762043
2 0.000764295
3 0.000759865
4 0.0022862
29700 4
1 0.00075532
2 0.000756684
3 0.000762977
4 0.00227498
29800 4
1 0.000761381
2 0.000774848
3 0.000755734
4 0.00229196
29900 4
1 0.000756774
2 0.000752207
3 0.000751547
4 0.00226053
30000 4
1 0.000751788
2 0.000755489
3 0.00075585
4 0.00226313
30100 4
1 0.000758423
2 0.00074776
3 0.000758868
4 0.00226505
30200 4
1 0.000753166
2 0.000767241
3 0.000758658
4 0.00227907
30300 4
1 0.000767262
2 0.000774151
3 0.000758653
4 0.00230006
30400 4
1 0.000772081
2 0.000763981
3 0.000765446
4 0.00230151
30500 4
1 0.000766232
2 0.000765121
3 0.000777853
4 0.00230921
30600 4
1 0.000784359
2 0.000772489
3 0.00076996
4 0.00232681
30700 4
1 0.000769702
2 0.000774881
3 0.000780351
4 0.00232493
30800 4
1 0.000765229
2 0.000762085
3 0.000761876
4 0.00228919
30900 4
1 0.000767722
2 0.000773668
3 0.000762811
4 0.0023042
31000 4
1 0.000773299
2 0.00076767
3 0.000767248
4 0.00230822
31100 4
1 0.000771996
2 0.000769793
3 0.000761657
4 0.00230345
31200 4
1 0.000784059
2 0.000778905
3 0.000773613
4 0.00233658
31300 4
1 0.000773499
2 0.000775584
3 0.000777191
4 0.00232627
31400 4
1 0.000785481
2 0.000783592
3 0.000784032
4 0.0023531
31500 4
1 0.000773529
2 0.000781687
3 0.000793551
4 0.00234877
31600 4
1 0.000782654
2 0.000783725
3 0.00078754
4 0.00235392
31700 4
1 0.00077396
2 0.000787845
3 0.000783926
4 0.00234573
31800 4
